Ko	gene	name	EC
K15759	IMPAD1, IMPA3	inositol monophosphatase 3	[EC:3.1.3.25 3.1.3.7]
K15765	tmoF, tbuC, touF	toluene monooxygenase electron transfer component	[EC:1.18.1.3]
K15770	cycB, ganO	arabinogalactan oligomer / maltooligosaccharide transport system substrate-binding protein
K15771	ganP	arabinogalactan oligomer / maltooligosaccharide transport system permease protein
K15772	ganQ	arabinogalactan oligomer / maltooligosaccharide transport system permease protein
K15773	hipB	HTH-type transcriptional regulator / antitoxin HipB
K15777	DOPA	4,5-DOPA dioxygenase extradiol	[EC:1.13.11.-]
K15778	pmm-pgm	phosphomannomutase / phosphoglucomutase	[EC:5.4.2.8 5.4.2.2]
K15779	PGM2	phosphoglucomutase / phosphopentomutase	[EC:5.4.2.2 5.4.2.7]
K15781	serB-plsC	putative phosphoserine phosphatase / 1-acylglycerol-3-phosphate O-acyltransferase	[EC:3.1.3.3 2.3.1.51]
K15782	doeX	Lrp/AsnC family transcriptional regulator, regulator of ectoine-degradation genes
K15783	doeA	ectoine hydrolase
K15784	doeB	N-alpha-acetyl-L-2,4-diaminobutyrate deacetylase	[EC:3.5.1.-]
K15785	doeD	L-2,4-diaminobutyrate transaminase	[EC:2.6.1.-]
K15789	TDH	threonine 3-dehydrogenase	[EC:1.1.1.103]
K15790	nifQ	nitrogen fixation protein NifQ
K15791	DHKTD1	probable 2-oxoglutarate dehydrogenase E1 component DHKTD1	[EC:1.2.4.2]
K15830	hycE	formate hydrogenlyase subunit 5
K15837	GPSM2	G-protein signaling modulator 2
K15849	PAT, AAT	bifunctional aspartate aminotransferase and glutamate/aspartate-prephenate aminotransferase	[EC:2.6.1.1 2.6.1.78 2.6.1.79]
K15856	rmd	GDP-4-dehydro-6-deoxy-D-mannose reductase	[EC:1.1.1.281]
K15859	SKN7	osomolarity two-component system, response regulator SKN7
K15861	fixK	CRP/FNR family transcriptional regulator, nitrogen fixation regulation protein
K15862	ccoNO	cytochrome c oxidase cbb3-type subunit I/II	[EC:1.9.3.1]
K15864	nirS	nitrite reductase (NO-forming) / hydroxylamine reductase	[EC:1.7.2.1 1.7.99.1]
K15865	CDKAL1	threonylcarbamoyladenosine tRNA methylthiotransferase CDKAL1	[EC:2.8.4.5]
K15866	paaG	2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase	[EC:5.3.3.18]
K15868	baiB	bile acid-coenzyme A ligase	[EC:6.2.1.7]
K15876	nrfH	cytochrome c nitrite reductase small subunit
K15879	narC	cytochrome b-561
K15888	uppS, cpdS	tritrans,polycis-undecaprenyl-diphosphate synthase [geranylgeranyl-diphosphate specific]	[EC:2.5.1.89]
K15894	pseB	UDP-N-acetylglucosamine 4,6-dehydratase	[EC:4.2.1.115]
K15898	pseI, neuB3	pseudaminic acid synthase	[EC:2.5.1.97]
K15901	CGI121, TPRKB	EKC/KEOPS complex subunit CGI121/TPRKB
K15904	kae1-bud32	bifunctional N6-L-threonylcarbamoyladenine synthase / protein kinase Bud32	[EC:2.3.1.234 2.7.11.1]
K15916	pgi-pmi	glucose/mannose-6-phosphate isomerase	[EC:5.3.1.9 5.3.1.8]
K15918	GLYK	D-glycerate 3-kinase	[EC:2.7.1.31]
K15922	yihQ	alpha-glucosidase	[EC:3.2.1.20]
K15923	AXY8, FUC95A, afcA	alpha-L-fucosidase 2	[EC:3.2.1.51]
K15973	mhqR	MarR family transcriptional regulator, 2-MHQ and catechol-resistance regulon repressor
K15975	K15975	glyoxalase family protein
K15977	K15977	putative oxidoreductase
K15979	SND1	staphylococcal nuclease domain-containing protein 1
K15984	rsmJ	16S rRNA (guanine1516-N2)-methyltransferase	[EC:2.1.1.242]
K15986	ppaC	manganese-dependent inorganic pyrophosphatase	[EC:3.6.1.1]
K15987	hppA	K(+)-stimulated pyrophosphate-energized sodium pump	[EC:3.6.1.1]
K16011	algA, xanB, rfbA	mannose-1-phosphate guanylyltransferase / mannose-6-phosphate isomerase	[EC:2.7.7.13 5.3.1.8]
K16012	cydC	ATP-binding cassette, subfamily C, bacterial CydC
K16013	cydD	ATP-binding cassette, subfamily C, bacterial CydD
K16014	cydCD	ATP-binding cassette, subfamily C, bacterial CydCD
K16020	rifG, asm47	5-deoxy-5-amino-3-dehydroquinate synthase
K16022	rif19	flavoprotein hydroxylase
K16048	hsaB	3-hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione monooxygenase reductase component	[EC:1.5.1.-]
K16050	hsaD	4,5:9,10-diseco-3-hydroxy-5,9,17-trioxoandrosta-1(10),2-diene-4-oate hydrolase	[EC:3.7.1.17]
K16052	ynaI, mscMJ, MSL	MscS family membrane protein
K16053	mscM	miniconductance mechanosensitive channel
K16054	DEP1	methylthioribulose 1-phosphate dehydratase / enolase-phosphatase E1	[EC:4.2.1.109 3.1.3.77]
K16055	TPS	trehalose 6-phosphate synthase/phosphatase	[EC:2.4.1.15 3.1.3.12]
K16059	STIM1	stromal interaction molecule 1
K16060	BIRC2_3	baculoviral IAP repeat-containing protein 2/3
K16063	PIAS2	E3 SUMO-protein ligase PIAS2
K16064	PIAS3	E3 SUMO-protein ligase PIAS3
K16066	ydfG	3-hydroxy acid dehydrogenase / malonic semialdehyde reductase	[EC:1.1.1.381 1.1.1.-]
K16072	ERC1, CAST2, ELKS	ELKS/RAB6-interacting/CAST family member 1
K16074	zntB	zinc transporter
K16075	MRS2, MFM1	magnesium transporter
K16079	omp31	outer membrane immunogenic protein
K16087	TC.FEV.OM3, tbpA, hemR, lbpA, hpuB, bhuR, hugA, hmbR	hemoglobin/transferrin/lactoferrin receptor protein
K16088	TC.FEV.OM1, fhuE, fpvA, fptA	outer-membrane receptor for ferric coprogen and ferric-rhodotorulic acid
K16089	TC.FEV.OM2, cirA, cfrA, hmuR	outer membrane receptor for ferrienterochelin and colicins
K16090	fiu	catecholate siderophore receptor
K16091	fecA	Fe(3+) dicitrate transport protein
K16092	btuB	vitamin B12 transporter
K16137	nemR	TetR/AcrR family transcriptional regulator, transcriptional repressor for nem operon
K16146	pep2	maltokinase	[EC:2.7.1.175]
K16147	glgE	starch synthase (maltosyl-transferring)	[EC:2.4.99.16]
K16148	glgA	starch synthase	[EC:2.4.1.21]
K16149	K16149	1,4-alpha-glucan branching enzyme	[EC:2.4.1.18]
K16150	K16150	glycogen synthase	[EC:2.4.1.11]
K16163	K16163	maleylpyruvate isomerase	[EC:5.2.1.4]
K16165	nagK	fumarylpyruvate hydrolase	[EC:3.7.1.20]
K16167	bpsA, srsA, pks11, pks10	alkylresorcinol/alkylpyrone synthase
K16168	bpsB, srsB	methyltransferase
K16171	faaH	fumarylacetoacetate (FAA) hydrolase	[EC:3.7.1.2]
K16172	IRS1	insulin receptor substrate 1
K16173	acd	glutaryl-CoA dehydrogenase (non-decarboxylating)	[EC:1.3.99.32]
K16175	SCRIB	protein scribble
K16185	RRAGA_B	Ras-related GTP-binding protein A/B
K16186	RRAGC_D	Ras-related GTP-binding protein C/D
K16188	ytpB	tetraprenyl-beta-curcumene synthase	[EC:4.2.3.130]
K16190	GLCAK	glucuronokinase	[EC:2.7.1.43]
K16194	EIF2AK1	eukaryotic translation initiation factor 2-alpha kinase 1	[EC:2.7.11.1]
K16196	EIF2AK4	eukaryotic translation initiation factor 2-alpha kinase 4	[EC:2.7.11.1]
K16197	YWHAB_Q_Z	14-3-3 protein beta/theta/zeta
K16203	dppA1	D-amino peptidase	[EC:3.4.11.-]
K16210	togT, rhiT	oligogalacturonide transporter
K16211	malY, malT	maltose/moltooligosaccharide transporter
K16212	mgp	4-O-beta-D-mannosyl-D-glucose phosphorylase	[EC:2.4.1.281]
K16213	cbe, mbe	cellobiose epimerase	[EC:5.1.3.11]
K16216	yueD	benzil reductase ((S)-benzoin forming)	[EC:1.1.1.320]
K16219	NTMT1, METTL11A, NTM1	protein N-terminal methyltransferase	[EC:2.1.1.244]
K16238	eat, eutP	ethanolamine permease
K16239	: No such data.
K16242	dmpN, poxD	phenol hydroxylase P3 protein	[EC:1.14.13.-]
K16243	dmpL, poxC	Phenol hydroxylase P1 protein
K16245	dmpO, poxE	phenol hydroxylase P4 protein
K16246	dmpP, poxF	phenol hydroxylase P5 protein
K16254	mxaJ	mxaJ protein
K16255	mxaG	cytochrome c-L
K16256	mxaA	mxaA protein
K16257	mxaC	mxaC protein
K16258	mxaK	mxaK protein
K16259	mxaL	mxaL protein
K16260	mxaD	mxaD protein
K16263	yjeH	amino acid efflux transporter
K16264	czcD, zitB	cobalt-zinc-cadmium efflux system protein
K16267	zipB	zinc and cadmium transporter
K16273	ZNRF3	E3 ubiquitin-protein ligase ZNRF3	[EC:2.3.2.27]
K16276	K16276, BTS	zinc finger protein-like protein
K16280	RGLG	E3 ubiquitin-protein ligase RGLG	[EC:2.3.2.27]
K16289	ANKK1	ankyrin repeat and protein kinase domain-containing protein 1	[EC:2.7.11.1]
K16290	XCP	xylem cysteine proteinase	[EC:3.4.22.-]
K16291	erfK	L,D-transpeptidase ErfK/SrfK
K16297	SCPL-II	serine carboxypeptidase-like clade II	[EC:3.4.16.-]
K16298	SCPL-IV	serine carboxypeptidase-like clade IV	[EC:3.4.16.-]
K16300	eexE	membrane fusion protein, epimerase transport system
K16302	CNNM	metal transporter CNNM
K16306	K16306	fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase	[EC:4.1.2.13 2.2.1.10]
K16307	CDC42BP	serine/threonine-protein kinase MRCK	[EC:2.7.11.1]
K16308	CIT	citron Rho-interacting kinase	[EC:2.7.11.1]
K16309	MASTL, GW	serine/threonine-protein kinase greatwall	[EC:2.7.11.1]
K16310	NIM1	serine/threonine-protein kinase NIM1	[EC:2.7.11.1]
K16311	SIK2	serine/threonine-protein kinase SIK2	[EC:2.7.11.1]
K16312	STK40, SHIK	serine/threonine-protein kinase 40	[EC:2.7.11.1]
K16315	GSG2	serine/threonine-protein kinase haspin	[EC:2.7.11.1]
K16317	trmY	tRNA (pseudouridine54-N1)-methyltransferase	[EC:2.1.1.257]
K16328	psuK	pseudouridine kinase	[EC:2.7.1.83]
K16329	psuG	pseudouridylate synthase	[EC:4.2.1.70]
K16330	K16330	pseudouridylate synthase / pseudouridine kinase	[EC:4.2.1.70 2.7.1.83]
K16342	PLA2G4, CPLA2	cytosolic phospholipase A2	[EC:3.1.1.4]
K16343	PLA2G6, IPLA2	calcium-independent phospholipase A2	[EC:3.1.1.4]
K16345	xanP	xanthine permease XanP
K16353	SDK	protein sidekick
K16358	LRFN5, SALM5	leucine-rich repeat and fibronectin type-III domain-containing protein 5
K16360	LRRC4B, NGL3	netrin-G3 ligand
K16363	lpxC-fabZ	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase / 3-hydroxyacyl-[acyl-carrier-protein] dehydratase	[EC:3.5.1.108 4.2.1.59]
K16370	pfkB	6-phosphofructokinase 2	[EC:2.7.1.11]
K16371	gatZ-kbaZ	D-tagatose-1,6-bisphosphate aldolase subunit GatZ/KbaZ
K16422	hmo, nocN	4-hydroxymandelate oxidase	[EC:1.1.3.46]
K16435	evaA, eryBVI, tylCVI, tylX3, staJ	dTDP-4-dehydro-6-deoxy-alpha-D-glucopyranose 2,3-dehydratase	[EC:4.2.1.159]
K16449	RGS	regulator of G-protein signaling
K16455	CEP41, TSGA14	centrosomal protein CEP41
K16463	CEP170	centrosomal protein CEP170
K16465	CETN1	centrin-1
K16469	CROCC	rootletin
K16473	IFT20	intraflagellar transport protein 20
K16474	IFT88	intraflagellar transport protein 88
K16479	ODF2	outer dense fiber protein 2
K16480	OFD1	oral-facial-digital syndrome 1 protein
K16482	POC1	centriolar protein POC1
K16487	SAS-6, SASS6	spindle assembly abnormal protein 6
K16489	SFI1	protein SFI1
K16493	PCDHA	protocadherin alpha
K16495	PCDHGA	protocadherin gamma subfamily A
K16496	PCDHGB	protocadherin gamma subfamily B
K16498	PCDHD1	protocadherin delta 1
K16499	PCDHD2	protocadherin delta 2
K16500	PCDH15	protocadherin-15
K16506	FAT1_2_3	protocadherin Fat 1/2/3
K16507	DCHS1_2, PCDH16_23	protocadherin-16/23
K16514	galD	4-oxalomesaconate tautomerase	[EC:5.3.2.8]
K16515	galB	4-oxalomesaconate hydratase	[EC:4.2.1.83]
K16516	galR	LysR family transcriptional regulator, regulator for genes of the gallate degradation pathway
K16523	AKAP6	A-kinase anchor protein 6
K16526	AKAP10	A-kinase anchor protein 10
K16527	AKAP11	A-kinase anchor protein 11
K16529	ARHGEF13_18_28	A-kinase anchor protein 13/18/28
K16531	BBS4	Bardet-Biedl syndrome 4 protein
K16533	CEP290, NPHP6	centrosomal protein CEP290
K16536	HOOK3	protein HOOK3
K16537	PCM1	pericentriolar material 1 protein
K16540	AZI1, CEP131	5-azacytidine-induced protein 1
K16545	DDHD2	phospholipase DDHD2	[EC:3.1.1.-]
K16546	FGFR10P	FGFR1 oncogene partner
K16550	RPGRIP1L	protein fantom
K16554	exoP, vpsO	polysaccharide biosynthesis transport protein
K16555	exoO	succinoglycan biosynthesis protein ExoO	[EC:2.4.-.-]
K16556	exoM	succinoglycan biosynthesis protein ExoM	[EC:2.4.-.-]
K16557	exoA	succinoglycan biosynthesis protein ExoA	[EC:2.4.-.-]
K16558	exoL	succinoglycan biosynthesis protein ExoL	[EC:2.-.-.-]
K16563	exoV	succinoglycan biosynthesis protein ExoV
K16564	exoU	succinoglycan biosynthesis protein ExoU	[EC:2.4.-.-]
K16569	TUBGCP2, GCP2	gamma-tubulin complex component 2
K16570	TUBGCP3, GCP3	gamma-tubulin complex component 3
K16571	TUBGCP4, GCP4	gamma-tubulin complex component 4
K16572	TUBGCP5, GCP5	gamma-tubulin complex component 5
K16573	TUBGCP6, GCP6	gamma-tubulin complex component 6
K16575	ACTR1, ARP1	centractin
K16576	ACTR10, ARP11	actin-related protein 10
K16578	CLASP1_2	CLIP-associating protein 1/2
K16579	DCX	neuronal migration protein doublecortin
K16582	TTLL6_13	tubulin polyglutamylase TTLL6/13	[EC:6.-.-.-]
K16583	TTLL7	tubulin polyglutamylase TTLL7	[EC:6.-.-.-]
K16599	TTLL1	tubulin polyglutamylase TTLL1	[EC:6.-.-.-]
K16600	TTLL2	tubulin polyglutamylase TTLL2	[EC:6.-.-.-]
K16601	TTLL4	tubulin polyglutamylase TTLL4	[EC:6.-.-.-]
K16602	TTLL5, TTLL10	tubulin polyglutamylase TTLL5	[EC:6.-.-.-]
K16603	TTLL9	tubulin polyglutamylase TTLL9	[EC:6.-.-.-]
K16605	TPGS2	tubulin polyglutamylase complex subunit 2
K16606	LRRC49	leucine-rich repeat-containing protein 49
K16607	NICN1	nicolin-1
K16608	TTLL3_8	tubulin monoglycylase TTLL3/8	[EC:6.3.2.-]
K16609	TTLL12	tubulin--tyrosine ligase-like protein 12
K16628	COL7A	collagen, type VII, alpha
K16629	COL21A	collagen, type XXI, alpha
K16646	ANXA5	annexin A5
K16648	aftD	arabinofuranan 3-O-arabinosyltransferase	[EC:2.4.2.-]
K16650	glft2	galactofuranosylgalactofuranosylrhamnosyl-N-acetylglucosaminyl-diphospho-decaprenol beta-1,5/1,6-galactofuranosyltransferase	[EC:2.4.1.288]
K16652	dprE2	decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose 2-reductase	[EC:1.1.1.333]
K16653	dprE1	decaprenylphospho-beta-D-ribofuranose 2-oxidase	[EC:1.1.98.3]
K16658	NXPH3	neurexophilin-3
K16662	PTPRU	receptor-type tyrosine-protein phosphatase U	[EC:3.1.3.48]
K16665	LRRTM1_2	leucine-rich repeat transmembrane neuronal protein 1/2
K16667	PTPRG	receptor-type tyrosine-protein phosphatase gamma	[EC:3.1.3.48]
K16669	FAT4	protocadherin Fat 4
K16673	LIX1L	LIX1-like protein
K16674	FJX1	four-jointed box protein 1
K16675	ZDHHC9_14_18	palmitoyltransferase ZDHHC9/14/18	[EC:2.3.1.225]
K16676	LPP	lipoma-prefererred partner
K16677	DACHS	dachs
K16680	ED	echinoid
K16681	CRB	protein crumbs
K16682	AJUBA, LIMD1, WTIP	LIM domain-containing protein
K16684	NF2	merlin
K16685	WWC1	protein KIBRA
K16687	YAP1, Yki	transcriptional coactivator YAP1
K16692	etk-wzc	tyrosine-protein kinase Etk/Wzc	[EC:2.7.10.-]
K16698	tuaG	teichuronic acid biosynthesis glycosyltransferase TuaG	[EC:2.4.-.-]
K16703	wcaL, amsK	colanic acid/amylovoran biosynthesis glycosyltransferase	[EC:2.4.-.-]
K16717	CEP97	centrosomal protein CEP97
K16719	KANSL3, RCD1	regulatory NSL complex subunit 3
K16726	ANKRD17, MASK	ankyrin repeat domain-containing protein 17
K16727	ARHGEF10	Rho guanine nucleotide exchange factor 10
K16731	GOLGA1	golgin subfamily A member 1
K16732	PRC1	protein regulator of cytokinesis 1
K16733	RACGAP1, Tum	Rac GTPase-activating protein 1
K16738	NDE1, NUDE	nuclear distribution protein NudE
K16739	NDEL1	nuclear distribution protein NudE-like 1
K16740	AHI1	jouberin
K16743	ASPM, ASP	abnormal spindle-like microcephaly-associated protein
K16744	B9D1	B9 domain-containing protein 1
K16746	BBS1	Bardet-Biedl syndrome 1 protein
K16747	BBS2	Bardet-Biedl syndrome 2 protein
K16748	BBS5	Bardet-Biedl syndrome 5 protein
K16749	BBS7	Bardet-Biedl syndrome 7 protein
K16756	CCDC64	coiled-coil domain-containing protein 64
K16759	CCDC102A	coiled-coil domain-containing protein 102A
K16776	NAV1	neuron navigator 1
K16777	NEURL4	neuralized-like protein 4
K16779	RAB3IP, RABIN8	Rab-3A-interacting protein
K16781	TTC8, BBS8	tetratricopeptide repeat protein 8
K16783	bioN	biotin transport system permease protein
K16784	bioM	biotin transport system ATP-binding protein	[EC:3.6.3.-]
K16785	ecfT	energy-coupling factor transport system permease protein
K16786	ecfA1	energy-coupling factor transport system ATP-binding protein	[EC:3.6.3.-]
K16787	ecfA2	energy-coupling factor transport system ATP-binding protein	[EC:3.6.3.-]
K16788	niaX	niacin transporter
K16792	aksD	methanogen homoaconitase large subunit	[EC:4.2.1.114]
K16793	aksE	methanogen homoaconitase small subunit	[EC:4.2.1.114]
K16794	PAFAH1B1, LIS1	platelet-activating factor acetylhydrolase IB subunit alpha
K16795	PAFAH1B2_3	platelet-activating factor acetylhydrolase IB subunit beta/gamma	[EC:3.1.1.47]
K16796	SOX2	transcription factor SOX2 (SOX group B)
K16798	GLI2	zinc finger protein GLI2
K16803	CKAP5, XMAP215	cytoskeleton-associated protein 5
K16806	MAP7D1	MAP7 domain-containing protein 1
K16810	TBCCD1	TBCC domain-containing protein 1
K16812	TPX2	targeting protein for Xklp2
K16815	PNPLA8	calcium-independent phospholipase A2-gamma
K16819	AMOT	angiomotin
K16822	FRMD6	FERM domain-containing protein 6
K16833	PPP1R2, IPP2	protein phosphatase inhibitor 2
K16839	hpxO	FAD-dependent urate hydroxylase	[EC:1.14.13.113]
K16840	hpxQ	2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase	[EC:4.1.1.97]
K16841	hpxA	allantoin racemase	[EC:5.1.99.3]
K16843	slcC	(S)-sulfolactate dehydrogenase	[EC:1.1.1.310]
K16844	comC	(2R)-3-sulfolactate dehydrogenase (NADP+)	[EC:1.1.1.338]
K16845	suyA	(2R)-sulfolactate sulfo-lyase subunit alpha	[EC:4.4.1.24]
K16846	suyB	(2R)-sulfolactate sulfo-lyase subunit beta	[EC:4.4.1.24]
K16847	TIAM2	T-lymphoma invasion and metastasis-inducing protein 2
K16848	IQGAP1	Ras GTPase-activating-like protein IQGAP1
K16849	uxaA1	altronate dehydratase small subunit	[EC:4.2.1.7]
K16850	uxaA2	altronate dehydratase large subunit	[EC:4.2.1.7]
K16857	THBS1	thrombospondin 1
K16860	PLD3_4	phospholipase D3/4	[EC:3.1.4.4]
K16862	PLD6	mitochondrial cardiolipin hydrolase	[EC:3.1.4.-]
K16865	PDCD4	programmed cell death protein 4
K16868	tehB	tellurite methyltransferase	[EC:2.1.1.265]
K16871	POP2	4-aminobutyrate---pyruvate transaminase	[EC:2.6.1.96]
K16872	E2.3.1.207	beta-ketodecanoyl-[acyl-carrier-protein] synthase	[EC:2.3.1.207]
K16873	hmfH	5-(hydroxymethyl)furfural/furfural oxidase	[EC:1.1.3.47 1.1.3.-]
K16877	hmfA	2-furoyl-CoA dehydrogenase large subunit	[EC:1.3.99.8]
K16880	hmfE	2-oxoglutaroyl-CoA hydrolase
K16881	K16881	mannose-1-phosphate guanylyltransferase / phosphomannomutase	[EC:2.7.7.13 5.4.2.8]
K16882	PCLO	protein piccolo
K16885	qmoA	quinone-modifying oxidoreductase, subunit QmoA
K16886	qmoB	quinone-modifying oxidoreductase, subunit QmoB
K16887	qmoC	quinone-modifying oxidoreductase, subunit QmoC
K16896	TPCN1	two pore calcium channel protein 1
K16897	TPCN3	two pore calcium channel protein 3
K16898	addA	ATP-dependent helicase/nuclease subunit A	[EC:3.1.-.- 3.6.4.12]
K16899	addB	ATP-dependent helicase/nuclease subunit B	[EC:3.1.-.- 3.6.4.12]
K16904	DCTPP1	dCTP diphosphatase	[EC:3.6.1.12]
K16907	K16907	fluoroquinolone transport system ATP-binding protein	[EC:3.6.3.-]
K16911	DDX21	ATP-dependent RNA helicase DDX21	[EC:3.6.4.13]
K16912	LAS1	ribosomal biogenesis protein LAS1
K16914	NO66	bifunctional lysine-specific demethylase and histidyl-hydroxylase NO66	[EC:1.14.11.- 1.14.11.27]
K16915	cbiL	nickel transport protein
K16922	yydH	putative peptide zinc metalloprotease protein
K16925	ykoE	energy-coupling factor transport system substrate-specific component
K16927	cbrT	energy-coupling factor transport system substrate-specific component
K16931	STAR	steroidogenic acute regulatory protein, mitochondrial
K16937	doxD	thiosulfate dehydrogenase [quinone] large subunit	[EC:1.8.5.2]
K16938	SEPT3_9_12	septin 3/9/12
K16939	SEPT6_8_11	septin 6/8/11
K16942	SEPT2	septin 2
K16944	SEPT7, CDC3	septin 7
K16945	CDC11	cell division control protein 11
K17043	DDX43	ATP-dependent RNA helicase DDX43	[EC:3.6.4.13]
K17050	clrA, serA	complex iron-sulfur molybdoenzyme family reductase subunit alpha
K17051	clrb, serB	complex iron-sulfur molybdoenzyme family reductase subunit beta
K17062	bgtB	arginine/lysine/histidine/glutamine transport system substrate-binding and permease protein
K17063	bgtA	arginine/lysine/histidine/glutamine transport system ATP-binding protein	[EC:3.6.3.-]
K17065	DNM1L	dynamin 1-like protein	[EC:3.6.5.5]
K17079	OPA1	optic atrophy protein 1	[EC:3.6.5.5]
K17080	PHB1	prohibitin 1
K17081	PHB2	prohibitin 2
K17082	FERMT1, KIND1	kindlin 1
K17083	FERMT2, KIND2	kindlin 2
K17086	TM9SF2_4	transmembrane 9 superfamily member 2/4
K17087	TM9SF3	transmembrane 9 superfamily member 3
K17095	ANXA7_11	annexin A7/11
K17099	ANXA13	annexin A13
K17102	EHF	ETS homologous factor
K17103	CHO1, pssA	CDP-diacylglycerol---serine O-phosphatidyltransferase	[EC:2.7.8.8]
K17104	E2.5.1.41	phosphoglycerol geranylgeranyltransferase	[EC:2.5.1.41]
K17105	E2.5.1.42	geranylgeranylglycerol-phosphate geranylgeranyltransferase	[EC:2.5.1.42]
K17108	GBA2	non-lysosomal glucosylceramidase	[EC:3.2.1.45]
K17197	NKIRAS	NF-kappa-B inhibitor-interacting Ras-like protein
K17199	RASEF, RAB45	Ras and EF-hand domain-containing protein
K17202	K17202, eryG	erythritol transport system substrate-binding protein
K17203	K17203, eryF	erythritol transport system permease protein
K17204	eryE	erythritol transport system ATP-binding protein
K17205	xltC	putative xylitol transport system substrate-binding protein
K17206	xltB	putative xylitol transport system permease protein
K17207	xltA	putative xylitol transport system ATP-binding protein
K17208	K17208, ibpA	inositol transport system substrate-binding protein
K17209	iatP	inositol transport system permease protein
K17213	K17213	inositol transport system substrate-binding protein
K17214	K17214	inositol transport system permease protein
K17215	K17215	inositol transport system ATP-binding protein
K17217	mccB	cystathionine gamma-lyase / homocysteine desulfhydrase	[EC:4.4.1.1 4.4.1.2]
K17218	sqr	sulfide:quinone oxidoreductase	[EC:1.8.5.4]
K17222	soxA	sulfur-oxidizing protein SoxA
K17223	soxX	sulfur-oxidizing protein SoxX
K17224	soxB	sulfur-oxidizing protein SoxB
K17225	soxC	sulfane dehydrogenase subunit SoxC
K17226	soxY	sulfur-oxidizing protein SoxY
K17227	soxZ	sulfur-oxidizing protein SoxZ
K17228	sfnG	FMNH2-dependent dimethyl sulfone monooxygenase
K17229	fccB	sulfide dehydrogenase [flavocytochrome c] flavoprotein chain	[EC:1.8.2.3]
K17231	IYD, DEHAL1	iodotyrosine deiodinase	[EC:1.21.1.1]
K17233	DUOXA1	dual oxidase maturation factor 1
K17234	araN	arabinosaccharide transport system substrate-binding protein
K17237	inoE	inositol-phosphate transport system substrate-binding protein
K17238	inoF	inositol-phosphate transport system permease protein
K17239	inoG	inositol-phosphate transport system permease protein
K17240	inoK	inositol-phosphate transport system ATP-binding protein
K17241	aguE	alpha-1,4-digalacturonate transport system substrate-binding protein
K17242	aguF	alpha-1,4-digalacturonate transport system permease protein
K17243	aguG	alpha-1,4-digalacturonate transport system permease protein
K17244	chiE	putative chitobiose transport system substrate-binding protein
K17245	chiF	putative chitobiose transport system permease protein
K17246	chiG	putative chitobiose transport system permease protein
K17247	msrQ	methionine sulfoxide reductase heme-binding subunit
K17254	SDCBP	syntenin-1
K17255	GDI1_2	Rab GDP dissociation inhibitor
K17256	IGFALS, ALS	insulin-like growth factor-binding protein complex acid labile subunit
K17257	ITFG1	integrin alpha FG-GAP repeat containing protein 1
K17260	ACTR2, ARP2	actin-related protein 2
K17261	CAP1_2, SRV2	adenylyl cyclase-associated protein
K17262	TBCB, CKAP1, ALF1	tubulin-folding cofactor B
K17263	CAND1	cullin-associated NEDD8-dissociated protein 1
K17264	ERP44, TXNDC4	endoplasmic reticulum resident protein 44
K17266	MVP	major vault protein
K17267	COPG	coatomer subunit gamma
K17268	COPE	coatomer subunit epsilon
K17271	PLP1	myelin proteolipid protein
K17277	EPS8	epidermal growth factor receptor kinase substrate 8
K17278	PGRMC1_2	membrane-associated progesterone receptor component
K17279	REEP5_6	receptor expression-enhancing protein 5/6
K17285	SELENBP1	selenium-binding protein 1
K17286	STOM	erythrocyte band 7 integral membrane protein
K17292	TBCA	tubulin-specific chaperone A
K17293	TSPAN3	tetraspanin-3
K17301	COPB1, SEC26	coatomer subunit beta
K17302	COPB2, SEC27	coatomer subunit beta'
K17306	ARMC1	armadillo repeat-containing protein 1
K17307	FBLN1_2	fibulin 1/2
K17315	gtsA, glcE	glucose/mannose transport system substrate-binding protein
K17316	gtsB, glcF	glucose/mannose transport system permease protein
K17317	gtsC, glcG	glucose/mannose transport system permease protein
K17318	K17318, lplA	putative aldouronate transport system substrate-binding protein
K17319	lplB	putative aldouronate transport system permease protein
K17320	lplC	putative aldouronate transport system permease protein
K17321	glpV	glycerol transport system substrate-binding protein
K17322	K17322, glpP	glycerol transport system permease protein
K17323	glpQ	glycerol transport system permease protein
K17324	glpS	glycerol transport system ATP-binding protein
K17325	K17325, glpT	glycerol transport system ATP-binding protein
K17329	dasA	N,N'-diacetylchitobiose transport system substrate-binding protein
K17330	dasB	N,N'-diacetylchitobiose transport system permease protein
K17331	dasC	N,N'-diacetylchitobiose transport system permease protein
K17335	NFAT5	nuclear factor of activated T-cells 5
K17336	PLS3	plastin-3
K17338	REEP1_2_3_4	receptor expression-enhancing protein 1/2/3/4
K17339	ATL	atlastin	[EC:3.6.5.-]
K17340	FBLN5	fibulin 5
K17341	HMCN	hemicentin
K17343	PRPH2, TSPAN22	peripherin-2
K17345	TSPAN5	tetraspanin-5
K17346	TSPAN33	tetraspanin-33
